year,month,station,sea_surface_height
1990,8,Halifax,1
1990,9,Halifax,1
1990,10,Halifax,1
1990,11,Halifax,1.1
1990,12,Halifax,1
1991,1,Halifax,1
1991,2,Halifax,1
1991,3,Halifax,1.1
1991,4,Halifax,1
1991,5,Halifax,1
1991,6,Halifax,1
1991,7,Halifax,1
1991,8,Halifax,1
1991,10,Halifax,1
1991,11,Halifax,1.1
1991,12,Halifax,1.1
1992,1,Halifax,1.1
1992,2,Halifax,1.1
1992,3,Halifax,1
1992,4,Halifax,0.9
1992,5,Halifax,0.9
1992,6,Halifax,1
1992,7,Halifax,1
1992,8,Halifax,0.9
1992,9,Halifax,0.9
1992,10,Halifax,1
1992,11,Halifax,1
1992,12,Halifax,1
1993,1,Halifax,1
1993,2,Halifax,1
1993,3,Halifax,1
1993,4,Halifax,1
1993,5,Halifax,1
1993,8,Halifax,1
1993,9,Halifax,1
1993,10,Halifax,1
1993,11,Halifax,1
1993,12,Halifax,1.1
1994,1,Halifax,1
1994,2,Halifax,1
1994,3,Halifax,1
1994,4,Halifax,0.9
1994,5,Halifax,1
1994,6,Halifax,0.9
1994,7,Halifax,1
1994,8,Halifax,1
1994,9,Halifax,1
1994,10,Halifax,1
1994,11,Halifax,1
1994,12,Halifax,1
1995,1,Halifax,1
1995,2,Halifax,1
1995,3,Halifax,1
1995,4,Halifax,1
1995,5,Halifax,1
1995,6,Halifax,0.9
1995,7,Halifax,1
1995,8,Halifax,1
1995,9,Halifax,1
1995,10,Halifax,1
1995,11,Halifax,1.1
1995,12,Halifax,1.2
1996,1,Halifax,1.1
1996,2,Halifax,1
1996,3,Halifax,1
1996,4,Halifax,1.1
1996,5,Halifax,1
1996,6,Halifax,1
1996,7,Halifax,1
1996,8,Halifax,1
1996,9,Halifax,1.2
1996,10,Halifax,1.1
1996,11,Halifax,1.1
1996,12,Halifax,1.1
1997,1,Halifax,1.1
1997,2,Halifax,1
1997,3,Halifax,1.1
1997,4,Halifax,1.1
1997,5,Halifax,1
1997,6,Halifax,1
1997,7,Halifax,1
1997,8,Halifax,1
1997,9,Halifax,1
1997,10,Halifax,1.1
1997,11,Halifax,1.1
1997,12,Halifax,1.2
1998,1,Halifax,1.1
1998,2,Halifax,1.1
1998,3,Halifax,1
1998,4,Halifax,1.1
1998,5,Halifax,1
1998,6,Halifax,1
1998,7,Halifax,1
1998,8,Halifax,1
1998,9,Halifax,1.1
1998,10,Halifax,1.1
1998,11,Halifax,1.1
1998,12,Halifax,1
1999,1,Halifax,1
1999,2,Halifax,1.1
1999,3,Halifax,1
1999,4,Halifax,1.1
1999,5,Halifax,1
1999,6,Halifax,0.9
1999,7,Halifax,1
1999,8,Halifax,1
1999,9,Halifax,1
1999,10,Halifax,1
1999,11,Halifax,1
1999,12,Halifax,1.1
2000,1,Halifax,1.1
2000,2,Halifax,1
2000,3,Halifax,1
2000,4,Halifax,1
2000,5,Halifax,1
2000,6,Halifax,1
2000,7,Halifax,1
2000,8,Halifax,1
2000,9,Halifax,1
2000,10,Halifax,1.1
2000,11,Halifax,1.2
2000,12,Halifax,1.1
2001,2,Halifax,0.9
2001,3,Halifax,1
2001,4,Halifax,1
2001,5,Halifax,1
2001,6,Halifax,1
2001,7,Halifax,1
2001,8,Halifax,1
2001,9,Halifax,1
2001,10,Halifax,1
2001,11,Halifax,1.1
2001,12,Halifax,1.1
2002,1,Halifax,1.1
2002,2,Halifax,1.1
2002,3,Halifax,0.9
2002,4,Halifax,1
2002,5,Halifax,1
2002,6,Halifax,1
2002,7,Halifax,1
2002,8,Halifax,0.9
2002,9,Halifax,1
2002,10,Halifax,1
2002,11,Halifax,1
2002,12,Halifax,1.1
2003,1,Halifax,1.1
2003,2,Halifax,1
2003,3,Halifax,1
2003,4,Halifax,1
2003,5,Halifax,1
2003,6,Halifax,1
2003,7,Halifax,1
2003,8,Halifax,1
2003,9,Halifax,1
2004,2,Halifax,1.1
2004,3,Halifax,1
2004,4,Halifax,1
2004,5,Halifax,1
2004,6,Halifax,1.1
2004,7,Halifax,1
2004,8,Halifax,1
2004,10,Halifax,1.1
2004,11,Halifax,1.1
2004,12,Halifax,1.1
2005,1,Halifax,1.1
2005,2,Halifax,1
2005,3,Halifax,1.1
2005,4,Halifax,1.1
2005,5,Halifax,1.1
2005,6,Halifax,1
2005,7,Halifax,1
2005,8,Halifax,1
2005,9,Halifax,1
2005,10,Halifax,1.1
2005,11,Halifax,1.1
2005,12,Halifax,1.1
2006,1,Halifax,1.1
2006,2,Halifax,1.1
2006,3,Halifax,1.1
2006,4,Halifax,1.1
2006,7,Halifax,1
2006,8,Halifax,1
2006,9,Halifax,1.1
2006,10,Halifax,1.1
2006,11,Halifax,1
2006,12,Halifax,1.1
2007,1,Halifax,1.1
2007,2,Halifax,1.1
2007,3,Halifax,1
2007,4,Halifax,1
2007,5,Halifax,1
2007,6,Halifax,1.1
2007,7,Halifax,1
2007,8,Halifax,1
2007,9,Halifax,1
2007,10,Halifax,1.1
2007,11,Halifax,1
2007,12,Halifax,1
2008,1,Halifax,1
2008,2,Halifax,1
2008,3,Halifax,1
2008,4,Halifax,1
2008,5,Halifax,1.1
2008,6,Halifax,1.1
2008,7,Halifax,1
2008,8,Halifax,1.1
2008,9,Halifax,1
2008,10,Halifax,1.1
2008,11,Halifax,1.1
2008,12,Halifax,1
2009,1,Halifax,1.1
2009,2,Halifax,1.2
2009,3,Halifax,1
2009,4,Halifax,1
2009,5,Halifax,1
2009,6,Halifax,1.1
2009,7,Halifax,1.1
2009,8,Halifax,1
2009,9,Halifax,1.1
2009,10,Halifax,1.2
2009,11,Halifax,1.1
2009,12,Halifax,1.2
2010,1,Halifax,1.2
2010,2,Halifax,1.3
2010,3,Halifax,1.2
2010,4,Halifax,1.1
2010,5,Halifax,1.1
2010,6,Halifax,1.1
2010,7,Halifax,1.1
2010,8,Halifax,1.1
2010,9,Halifax,1.1
2010,10,Halifax,1.2
2010,11,Halifax,1.2
2010,12,Halifax,1.3
2011,1,Halifax,1.2
2011,2,Halifax,1.2
2011,3,Halifax,1.1
2011,4,Halifax,1.1
2011,5,Halifax,1.1
2011,6,Halifax,1.1
2011,7,Halifax,1.1
2011,8,Halifax,1.1
2011,9,Halifax,1.1
2011,10,Halifax,1.2
2011,11,Halifax,1.1
2011,12,Halifax,1.1
2012,1,Halifax,1.1
2012,2,Halifax,1.1
2012,3,Halifax,1.1
2012,4,Halifax,1.1
2012,5,Halifax,1
2012,6,Halifax,1.1
2012,7,Halifax,1.1
2012,8,Halifax,1.1
2012,9,Halifax,1
2012,10,Halifax,1.1
2012,11,Halifax,1.1
2012,12,Halifax,1.1
2013,1,Halifax,1.1
2013,2,Halifax,1.1
2013,3,Halifax,1.2
2013,4,Halifax,1
2013,5,Halifax,1
2013,6,Halifax,1.1
2013,9,Halifax,1.1
2013,10,Halifax,1.2
2013,11,Halifax,1.1
2013,12,Halifax,1.1
2014,1,Halifax,1.1
2014,2,Halifax,1.1
2014,3,Halifax,1.1
2014,4,Halifax,1.1
2014,5,Halifax,1.1
2014,6,Halifax,1.1
2014,7,Halifax,1
2014,8,Halifax,1.1
2014,9,Halifax,1.1
2014,10,Halifax,1.2
2014,11,Halifax,1.2
2014,12,Halifax,1.1
2015,1,Halifax,1.1
2015,2,Halifax,1.1
2015,3,Halifax,1.1
2015,4,Halifax,1.1
2015,5,Halifax,1
2015,6,Halifax,1.1
2015,7,Halifax,1.1
2015,8,Halifax,1.1
2015,9,Halifax,1.1
2015,10,Halifax,1.1
2015,11,Halifax,1.1
2015,12,Halifax,1.1
2016,1,Halifax,1.2
2016,2,Halifax,1.1
2016,3,Halifax,1.1
2016,4,Halifax,1.1
2016,5,Halifax,1.1
2016,6,Halifax,1.1
2016,7,Halifax,1.1
2016,8,Halifax,1.1
2016,9,Halifax,1.1
2016,10,Halifax,1.2
2016,11,Halifax,1.2
2016,12,Halifax,1.2
2017,1,Halifax,1.1
2017,2,Halifax,1.2
2017,3,Halifax,1.1
2017,4,Halifax,1.1
2017,5,Halifax,1.2
2017,6,Halifax,1.1
2017,7,Halifax,1.1
2017,8,Halifax,1.1
2017,9,Halifax,1.1
2017,10,Halifax,1.1
2017,11,Halifax,1.2
2017,12,Halifax,1.1
2018,1,Halifax,1.1
2018,2,Halifax,1.1
2018,3,Halifax,1.3
2018,4,Halifax,1.1
2018,5,Halifax,1.1
2018,6,Halifax,1.2
2018,7,Halifax,1.1
2018,8,Halifax,1.1
2018,9,Halifax,1.1
2018,10,Halifax,1.2
2018,11,Halifax,1.2
2018,12,Halifax,1.2
2019,1,Halifax,1.2
2019,2,Halifax,1.1
2019,3,Halifax,1.1
2019,4,Halifax,1.1
2019,5,Halifax,1.1
2019,6,Halifax,1.1
2019,7,Halifax,1.2
2019,8,Halifax,1.1
2019,9,Halifax,1.1
2019,10,Halifax,1.2
2019,11,Halifax,1.2
1970,1,North Sydney,0.9
1970,2,North Sydney,0.7
1970,3,North Sydney,0.7
1970,4,North Sydney,0.7
1970,5,North Sydney,0.6
1970,6,North Sydney,0.7
1970,7,North Sydney,0.7
1970,8,North Sydney,0.8
1970,9,North Sydney,0.8
1970,10,North Sydney,0.7
1970,11,North Sydney,0.8
1970,12,North Sydney,0.9
1971,1,North Sydney,0.9
1971,2,North Sydney,0.7
1971,3,North Sydney,0.8
1971,4,North Sydney,0.7
1971,5,North Sydney,0.7
1971,6,North Sydney,0.7
1971,7,North Sydney,0.7
1971,8,North Sydney,0.7
1971,9,North Sydney,0.7
1971,10,North Sydney,0.8
1971,11,North Sydney,0.8
1971,12,North Sydney,0.8
1972,1,North Sydney,0.8
1972,2,North Sydney,0.7
1972,3,North Sydney,0.7
1972,4,North Sydney,0.7
1972,5,North Sydney,0.7
1972,6,North Sydney,0.7
1972,7,North Sydney,0.7
1972,8,North Sydney,0.7
1972,9,North Sydney,0.8
1972,10,North Sydney,0.7
1972,11,North Sydney,0.8
1972,12,North Sydney,0.9
1973,1,North Sydney,0.9
1973,2,North Sydney,0.7
1973,3,North Sydney,0.7
1973,4,North Sydney,0.7
1973,5,North Sydney,0.6
1973,6,North Sydney,0.7
1973,7,North Sydney,0.7
1973,8,North Sydney,0.7
1973,9,North Sydney,0.8
1973,10,North Sydney,0.8
1973,11,North Sydney,0.8
1973,12,North Sydney,0.7
1974,1,North Sydney,0.8
1974,2,North Sydney,0.8
1974,3,North Sydney,0.7
1974,4,North Sydney,0.7
1974,5,North Sydney,0.7
1974,6,North Sydney,0.6
1974,7,North Sydney,0.7
1974,8,North Sydney,0.7
1974,9,North Sydney,0.7
1974,10,North Sydney,0.7
1974,11,North Sydney,0.7
1974,12,North Sydney,0.8
1975,1,North Sydney,0.7
1975,2,North Sydney,0.7
1975,3,North Sydney,0.7
1975,4,North Sydney,0.7
1975,5,North Sydney,0.7
1975,6,North Sydney,0.7
1975,7,North Sydney,0.7
1975,8,North Sydney,0.7
1975,9,North Sydney,0.7
1975,10,North Sydney,0.8
1975,11,North Sydney,0.8
1975,12,North Sydney,0.7
1976,1,North Sydney,0.8
1976,2,North Sydney,0.7
1976,3,North Sydney,0.7
1976,4,North Sydney,0.7
1976,5,North Sydney,0.6
1976,6,North Sydney,0.7
1976,7,North Sydney,0.7
1976,8,North Sydney,0.7
1976,10,North Sydney,0.8
1976,11,North Sydney,0.9
1976,12,North Sydney,0.8
1977,1,North Sydney,0.8
1977,2,North Sydney,0.7
1977,3,North Sydney,0.7
1977,4,North Sydney,0.7
1977,5,North Sydney,0.7
1977,6,North Sydney,0.7
1977,7,North Sydney,0.7
1977,8,North Sydney,0.7
1977,10,North Sydney,0.8
1977,11,North Sydney,0.7
1977,12,North Sydney,0.8
1978,1,North Sydney,0.8
1978,2,North Sydney,0.8
1978,3,North Sydney,0.7
1978,4,North Sydney,0.8
1978,6,North Sydney,0.6
1978,7,North Sydney,0.7
1978,8,North Sydney,0.7
1978,9,North Sydney,0.8
1978,10,North Sydney,0.7
1978,11,North Sydney,0.8
1978,12,North Sydney,0.9
1979,2,North Sydney,0.8
1979,4,North Sydney,0.7
1979,5,North Sydney,0.6
1979,6,North Sydney,0.6
1979,7,North Sydney,0.7
1979,8,North Sydney,0.7
1979,10,North Sydney,0.8
1979,11,North Sydney,0.7
1979,12,North Sydney,0.8
1980,1,North Sydney,0.8
1980,2,North Sydney,0.8
1980,3,North Sydney,0.5
1980,4,North Sydney,0.6
1980,5,North Sydney,0.6
1980,6,North Sydney,0.6
1980,7,North Sydney,0.7
1980,8,North Sydney,0.7
1980,9,North Sydney,0.7
1980,10,North Sydney,0.8
1980,11,North Sydney,0.9
1980,12,North Sydney,0.8
1981,1,North Sydney,0.8
1981,2,North Sydney,0.7
1981,3,North Sydney,0.8
1981,4,North Sydney,0.7
1981,5,North Sydney,0.7
1981,7,North Sydney,0.7
1981,8,North Sydney,0.8
1981,9,North Sydney,0.7
1981,10,North Sydney,0.8
1981,11,North Sydney,0.8
1981,12,North Sydney,0.8
1982,1,North Sydney,0.8
1982,2,North Sydney,0.7
1982,3,North Sydney,0.6
1982,4,North Sydney,0.6
1982,5,North Sydney,0.6
1982,6,North Sydney,0.6
1982,7,North Sydney,0.7
1982,8,North Sydney,0.7
1982,9,North Sydney,0.7
1982,10,North Sydney,0.8
1982,11,North Sydney,0.7
1982,12,North Sydney,0.8
1983,1,North Sydney,0.7
1983,2,North Sydney,0.8
1983,3,North Sydney,0.8
1983,4,North Sydney,0.6
1983,5,North Sydney,0.6
1983,6,North Sydney,0.7
1983,7,North Sydney,0.8
1983,8,North Sydney,0.8
1983,9,North Sydney,0.8
1983,10,North Sydney,0.8
1983,11,North Sydney,0.9
1983,12,North Sydney,0.9
1984,1,North Sydney,0.7
1984,2,North Sydney,0.7
1984,3,North Sydney,0.7
1984,4,North Sydney,0.8
1984,5,North Sydney,0.7
1984,6,North Sydney,0.7
1984,7,North Sydney,0.7
1984,8,North Sydney,0.8
1984,9,North Sydney,0.8
1984,10,North Sydney,0.8
1984,11,North Sydney,0.9
1984,12,North Sydney,0.8
1985,1,North Sydney,1
1985,2,North Sydney,0.8
1985,3,North Sydney,0.8
1985,4,North Sydney,0.7
1985,5,North Sydney,0.7
1985,6,North Sydney,0.7
1985,7,North Sydney,0.7
1985,8,North Sydney,0.7
1985,9,North Sydney,0.7
1985,10,North Sydney,0.8
1985,11,North Sydney,0.8
1985,12,North Sydney,0.9
1986,1,North Sydney,0.8
1986,2,North Sydney,0.8
1986,3,North Sydney,0.7
1986,4,North Sydney,0.7
1986,5,North Sydney,0.7
1986,6,North Sydney,0.7
1986,7,North Sydney,0.8
1986,8,North Sydney,0.7
1986,9,North Sydney,0.8
1986,10,North Sydney,0.8
1986,11,North Sydney,0.8
1986,12,North Sydney,0.8
1987,1,North Sydney,0.9
1987,2,North Sydney,0.9
1987,3,North Sydney,0.7
1987,4,North Sydney,0.6
1987,5,North Sydney,0.7
1987,6,North Sydney,0.7
1987,7,North Sydney,0.7
1987,8,North Sydney,0.8
1987,9,North Sydney,0.8
1987,10,North Sydney,0.7
1987,11,North Sydney,0.8
1987,12,North Sydney,0.9
1988,1,North Sydney,0.8
1988,2,North Sydney,0.7
1988,3,North Sydney,0.8
1988,4,North Sydney,0.8
1988,5,North Sydney,0.7
1988,6,North Sydney,0.8
1988,7,North Sydney,0.7
1988,8,North Sydney,0.7
1988,9,North Sydney,0.8
1988,10,North Sydney,0.8
1988,11,North Sydney,0.9
1988,12,North Sydney,0.8
1989,1,North Sydney,0.8
1989,2,North Sydney,0.7
1989,3,North Sydney,0.6
1989,4,North Sydney,0.6
1989,5,North Sydney,0.6
1989,6,North Sydney,0.7
1989,7,North Sydney,0.7
1989,8,North Sydney,0.8
1989,9,North Sydney,0.8
1989,10,North Sydney,0.8
1989,11,North Sydney,0.9
1989,12,North Sydney,0.9
1990,1,North Sydney,0.8
1990,2,North Sydney,0.7
1990,3,North Sydney,0.6
1990,4,North Sydney,0.6
1990,5,North Sydney,0.7
1990,6,North Sydney,0.7
1990,7,North Sydney,0.7
1990,8,North Sydney,0.7
1990,9,North Sydney,0.7
1990,10,North Sydney,0.8
1990,11,North Sydney,0.9
1990,12,North Sydney,0.8
1991,1,North Sydney,0.8
1991,2,North Sydney,0.7
1991,3,North Sydney,0.8
1991,4,North Sydney,0.7
1991,5,North Sydney,0.8
1991,6,North Sydney,0.8
1991,7,North Sydney,0.8
1991,8,North Sydney,0.8
1991,9,North Sydney,0.8
1991,10,North Sydney,0.8
1991,11,North Sydney,0.8
1991,12,North Sydney,0.9
1992,1,North Sydney,0.9
1992,2,North Sydney,0.8
1992,3,North Sydney,0.8
1992,4,North Sydney,0.7
1992,5,North Sydney,0.6
1992,6,North Sydney,0.7
1992,7,North Sydney,0.8
1992,8,North Sydney,0.7
1992,9,North Sydney,0.7
1992,10,North Sydney,0.8
1992,11,North Sydney,0.8
1992,12,North Sydney,0.9
1993,1,North Sydney,0.8
1993,2,North Sydney,0.7
1993,3,North Sydney,0.7
1993,4,North Sydney,0.7
1993,5,North Sydney,0.8
1993,6,North Sydney,0.8
1993,7,North Sydney,0.8
1993,8,North Sydney,0.7
1993,9,North Sydney,0.8
1993,10,North Sydney,0.8
1993,11,North Sydney,0.8
1993,12,North Sydney,0.8
1994,1,North Sydney,0.8
1994,2,North Sydney,0.7
1994,3,North Sydney,0.7
1994,4,North Sydney,0.7
1994,5,North Sydney,0.7
1994,6,North Sydney,0.7
1994,7,North Sydney,0.7
1994,8,North Sydney,0.8
1994,9,North Sydney,0.8
1994,10,North Sydney,0.9
1994,11,North Sydney,0.9
1994,12,North Sydney,0.8
1995,1,North Sydney,0.8
1995,2,North Sydney,0.8
1995,3,North Sydney,0.7
1995,4,North Sydney,0.8
1995,5,North Sydney,0.7
1995,6,North Sydney,0.7
1995,7,North Sydney,0.7
1995,8,North Sydney,0.8
1995,9,North Sydney,0.8
1995,10,North Sydney,0.8
1995,11,North Sydney,0.8
1995,12,North Sydney,0.9
1996,1,North Sydney,0.8
1996,2,North Sydney,0.8
1996,3,North Sydney,0.8
1996,4,North Sydney,0.8
1996,5,North Sydney,0.8
1996,6,North Sydney,0.7
1996,7,North Sydney,0.8
1996,8,North Sydney,0.8
1996,9,North Sydney,0.9
1996,10,North Sydney,0.9
1996,11,North Sydney,0.9
1996,12,North Sydney,0.8
1997,1,North Sydney,1
1997,2,North Sydney,0.8
1997,3,North Sydney,0.8
1997,4,North Sydney,0.9
1997,5,North Sydney,0.8
1997,6,North Sydney,0.8
1997,7,North Sydney,0.8
1997,8,North Sydney,0.8
1997,9,North Sydney,0.8
1997,10,North Sydney,0.9
1997,11,North Sydney,0.9
1997,12,North Sydney,1
1998,1,North Sydney,0.8
1998,2,North Sydney,0.8
1998,3,North Sydney,0.8
1998,4,North Sydney,0.8
1998,5,North Sydney,0.7
1998,6,North Sydney,0.8
1998,7,North Sydney,0.8
1998,8,North Sydney,0.8
1998,9,North Sydney,0.9
1998,10,North Sydney,0.9
1998,11,North Sydney,0.8
1998,12,North Sydney,0.8
1999,1,North Sydney,0.7
1999,2,North Sydney,0.8
1999,3,North Sydney,0.7
1999,4,North Sydney,0.9
1999,6,North Sydney,0.7
1999,7,North Sydney,0.8
1999,8,North Sydney,0.8
1999,9,North Sydney,0.8
1999,10,North Sydney,0.9
1999,11,North Sydney,0.8
1999,12,North Sydney,0.8
2000,1,North Sydney,0.8
2000,2,North Sydney,0.8
2000,3,North Sydney,0.7
2000,4,North Sydney,0.7
2000,5,North Sydney,0.7
2000,6,North Sydney,0.7
2000,7,North Sydney,0.7
2000,8,North Sydney,0.8
2000,9,North Sydney,0.8
2000,10,North Sydney,0.8
2000,11,North Sydney,0.9
2000,12,North Sydney,0.9
2001,1,North Sydney,0.9
2001,2,North Sydney,0.8
2001,3,North Sydney,0.8
2001,4,North Sydney,0.8
2001,5,North Sydney,0.7
2001,6,North Sydney,0.8
2001,7,North Sydney,0.8
2001,8,North Sydney,0.8
2001,9,North Sydney,0.8
2001,10,North Sydney,0.8
2001,11,North Sydney,0.8
2001,12,North Sydney,0.9
2002,1,North Sydney,0.9
2002,2,North Sydney,0.8
2002,3,North Sydney,0.7
2002,4,North Sydney,0.7
2002,5,North Sydney,0.7
2002,6,North Sydney,0.7
2002,7,North Sydney,0.8
2002,8,North Sydney,0.8
2002,9,North Sydney,0.8
2002,10,North Sydney,0.9
2002,11,North Sydney,0.9
2002,12,North Sydney,1
2003,1,North Sydney,0.9
2003,2,North Sydney,0.8
2003,3,North Sydney,0.8
2003,4,North Sydney,0.7
2003,5,North Sydney,0.7
2003,6,North Sydney,0.8
2003,7,North Sydney,0.8
